GKZ,Gebietsname,Wahlberechtigte,Abgegebene,Ungültige,Gültige,ÖVP,%,SPÖ,%.1,FPÖ,%.2,GRÜNE,%.3,NEOS,%.4,BIER,%.5,MFG,%.6,BGE,%.7,LMP,%.8,GAZA,%.9,KPÖ,%.10,KEINE,%.11
G31802,Aspang-Markt,1504,1241,10,1231,424,34.44,208,16.89,416,33.79,51,4.14,81,6.58,17,1.38,6.0,0.48,,0.0,6,0.48,6.0,0.48,12,0.97,4,0.32
G31803,Aspangberg-St. Peter,1519,1250,21,1229,488,39.7,130,10.57,435,35.39,39,3.17,73,5.93,21,1.7,5.0,0.4,,0.0,13,1.05,2.0,0.16,15,1.22,8,0.65
G31804,Breitenau,1225,1036,14,1022,237,23.18,249,24.36,365,35.71,34,3.32,87,8.51,22,2.15,3.0,0.29,,0.0,3,0.29,4.0,0.39,15,1.46,3,0.29
G31805,Breitenstein,228,177,1,176,54,30.68,30,17.04,62,35.22,12,6.81,10,5.68,3,1.7,1.0,0.56,,0.0,0,0.0,0.0,0.0,2,1.13,2,1.13
G31806,Buchbach,291,249,2,247,57,23.07,66,26.72,73,29.55,14,5.66,30,12.14,1,0.4,3.0,1.21,,0.0,0,0.0,0.0,0.0,3,1.21,0,0.0
G31807,Edlitz,714,592,6,586,235,40.1,85,14.5,178,30.37,21,3.58,39,6.65,15,2.55,1.0,0.17,,0.0,2,0.34,0.0,0.0,10,1.7,0,0.0
G31808,Enzenreith,1554,1269,8,1261,367,29.1,265,21.01,406,32.19,65,5.15,97,7.69,23,1.82,0.0,0.0,,0.0,9,0.71,1.0,0.07,21,1.66,7,0.55
G31809,Feistritz am Wechsel,859,712,11,701,284,40.51,98,13.98,223,31.81,29,4.13,36,5.13,9,1.28,3.0,0.42,,0.0,10,1.42,0.0,0.0,3,0.42,6,0.85
G31810,Gloggnitz,4444,3296,45,3251,792,24.36,731,22.48,1171,36.01,144,4.42,207,6.36,80,2.46,11.0,0.33,,0.0,33,1.01,10.0,0.3,50,1.53,22,0.67
G31811,Grafenbach-St. Valentin,1850,1515,24,1491,341,22.87,375,25.15,533,35.74,58,3.89,89,5.96,31,2.07,11.0,0.73,,0.0,15,1.0,1.0,0.06,22,1.47,15,1.0
G31812,Grimmenstein,1099,887,15,872,313,35.89,172,19.72,265,30.38,32,3.66,47,5.38,13,1.49,6.0,0.68,,0.0,4,0.45,2.0,0.22,13,1.49,5,0.57
G31813,Grünbach am Schneeberg,1194,959,9,950,212,22.31,322,33.89,293,30.84,42,4.42,36,3.78,15,1.57,6.0,0.63,,0.0,5,0.52,4.0,0.42,13,1.36,2,0.21
G31814,Kirchberg am Wechsel,2048,1696,14,1682,610,36.26,174,10.34,619,36.8,89,5.29,116,6.89,29,1.72,5.0,0.29,,0.0,12,0.71,2.0,0.11,22,1.3,4,0.23
G31815,Mönichkirchen,501,410,6,404,179,44.3,39,9.65,128,31.68,21,5.19,19,4.7,7,1.73,2.0,0.49,,0.0,1,0.24,0.0,0.0,5,1.23,3,0.74
G31817,Natschbach-Loipersbach,1406,1162,17,1145,365,31.87,163,14.23,392,34.23,56,4.89,101,8.82,26,2.27,4.0,0.34,,0.0,7,0.61,5.0,0.43,18,1.57,8,0.69
G31818,Neunkirchen,8828,6068,64,6004,1299,21.63,1579,26.29,1956,32.57,336,5.59,354,5.89,134,2.23,21.0,0.34,,0.0,40,0.66,139.0,2.31,115,1.91,31,0.51
G31820,Otterthal,450,378,2,376,110,29.25,75,19.94,146,38.82,3,0.79,29,7.71,10,2.65,0.0,0.0,,0.0,1,0.26,0.0,0.0,1,0.26,1,0.26
G31821,Payerbach,1611,1308,20,1288,351,27.25,281,21.81,409,31.75,74,5.74,87,6.75,29,2.25,6.0,0.46,,0.0,19,1.47,0.0,0.0,23,1.78,9,0.69
G31823,Pitten,2329,1885,32,1853,448,24.17,393,21.2,613,33.08,115,6.2,147,7.93,59,3.18,12.0,0.64,,0.0,15,0.8,2.0,0.1,30,1.61,19,1.02
G31825,Prigglitz,364,315,6,309,106,34.3,40,12.94,110,35.59,26,8.41,15,4.85,4,1.29,1.0,0.32,,0.0,2,0.64,0.0,0.0,3,0.97,2,0.64
G31826,Puchberg am Schneeberg,2183,1713,25,1688,418,24.76,362,21.44,671,39.75,57,3.37,98,5.8,22,1.3,7.0,0.41,,0.0,20,1.18,4.0,0.23,24,1.42,5,0.29
G31827,Raach am Hochgebirge,258,226,2,224,111,49.55,27,12.05,57,25.44,5,2.23,10,4.46,8,3.57,1.0,0.44,,0.0,1,0.44,0.0,0.0,4,1.78,0,0.0
G31829,Reichenau an der Rax,2052,1672,22,1650,486,29.45,344,20.84,545,33.03,89,5.39,111,6.72,23,1.39,7.0,0.42,,0.0,16,0.96,1.0,0.06,19,1.15,9,0.54
G31830,St. Corona am Wechsel,325,273,1,272,134,49.26,10,3.67,98,36.02,10,3.67,11,4.04,4,1.47,1.0,0.36,,0.0,2,0.73,0.0,0.0,1,0.36,1,0.36
G31831,St. Egyden am Steinfeld,1720,1433,18,1415,383,27.06,273,19.29,513,36.25,52,3.67,115,8.12,34,2.4,8.0,0.56,,0.0,9,0.63,0.0,0.0,20,1.41,8,0.56
G31832,Scheiblingkirchen-Thernberg,1602,1313,14,1299,504,38.79,188,14.47,375,28.86,67,5.15,95,7.31,40,3.07,6.0,0.46,,0.0,7,0.53,0.0,0.0,14,1.07,3,0.23
G31833,Schottwien,492,397,8,389,125,32.13,56,14.39,138,35.47,10,2.57,24,6.16,14,3.59,0.0,0.0,,0.0,2,0.51,2.0,0.51,15,3.85,3,0.77
G31834,Schrattenbach,316,266,1,265,67,25.28,52,19.62,104,39.24,15,5.66,12,4.52,3,1.13,3.0,1.13,,0.0,2,0.75,0.0,0.0,5,1.88,2,0.75
G31835,Schwarzau am Steinfeld,1616,1286,8,1278,341,26.68,258,20.18,473,37.01,51,3.99,87,6.8,26,2.03,6.0,0.46,,0.0,5,0.39,0.0,0.0,20,1.56,11,0.86
G31836,Schwarzau im Gebirge,463,398,13,385,88,22.85,81,21.03,172,44.67,13,3.37,16,4.15,5,1.29,3.0,0.77,,0.0,2,0.51,0.0,0.0,4,1.03,1,0.25
G31837,Seebenstein,1227,1036,6,1030,232,22.52,263,25.53,359,34.85,51,4.95,76,7.37,22,2.13,8.0,0.77,,0.0,4,0.38,0.0,0.0,12,1.16,3,0.29
G31838,Semmering,372,296,2,294,105,35.71,46,15.64,76,25.85,13,4.42,32,10.88,8,2.72,1.0,0.34,,0.0,3,1.02,0.0,0.0,8,2.72,2,0.68
G31839,Ternitz,11295,8524,105,8419,1481,17.59,2650,31.47,2888,34.3,368,4.37,511,6.06,175,2.07,30.0,0.35,,0.0,50,0.59,65.0,0.77,152,1.8,49,0.58
G31840,Thomasberg,1005,848,15,833,329,39.49,104,12.48,309,37.09,26,3.12,24,2.88,16,1.92,6.0,0.72,,0.0,5,0.6,2.0,0.24,9,1.08,3,0.36
G31841,Trattenbach,428,371,4,367,162,44.14,28,7.62,147,40.05,9,2.45,6,1.63,8,2.17,2.0,0.54,,0.0,0,0.0,0.0,0.0,2,0.54,3,0.81
