GKZ,Gebietsname,"Wahl-
berechtigte",Stimmen,Unnamed: 4,Unnamed: 5,Dr. Michael Brunner,%,Gerald Grosz,%.1,Dr. Walter Rosenkranz,%.2,Heinrich Staudinger,%.3,Dr. Alexander Van der Bellen,%.4,Dr. Tassilo Wallentin,%.5,Dr. Dominik Wlazny,%.6
,,,Abgegeb.,Ungültige,Gültige,,,,,,,,,,,,,,
G10424,Heugraben,189.0,119,8,111,2.0,1.8018018018018018,10.0,9.00900900900901,25.0,22.52252252252252,0.0,0.0,58.0,52.25225225225225,9.0,8.108108108108109,7.0,6.306306306306306
G10425,Rohr im Burgenland,313.0,198,8,190,5.0,2.631578947368421,11.0,5.7894736842105265,54.0,28.421052631578945,0.0,0.0,87.0,45.78947368421053,21.0,11.052631578947368,12.0,6.315789473684211
G10426,Bildein,256.0,189,14,175,2.0,1.1428571428571428,8.0,4.571428571428571,30.0,17.142857142857142,0.0,0.0,93.0,53.142857142857146,35.0,20.0,7.0,4.0
G10427,Rauchwart,383.0,266,12,254,2.0,0.7874015748031495,30.0,11.811023622047244,56.0,22.04724409448819,5.0,1.968503937007874,121.0,47.63779527559055,19.0,7.480314960629922,21.0,8.267716535433072
G10428,Moschendorf,318.0,209,11,198,5.0,2.525252525252525,10.0,5.05050505050505,30.0,15.151515151515152,3.0,1.5151515151515151,107.0,54.04040404040404,21.0,10.606060606060606,22.0,11.11111111111111
G10499,Wahlkarten - Güssing,0.0,1775,32,1743,38.0,2.1801491681009755,81.0,4.647160068846816,221.0,12.67928858290304,21.0,1.2048192771084338,1089.0,62.47848537005164,163.0,9.351692484222603,130.0,7.458405048766495
G10500,Jennersdorf,14182.0,9501,241,9260,200.0,2.159827213822894,699.0,7.5485961123110155,2123.0,22.92656587473002,110.0,1.187904967602592,4268.0,46.090712742980564,1111.0,11.997840172786177,749.0,8.088552915766739
G10501,Deutsch Kaltenbrunn,1439.0,840,22,818,8.0,0.9779951100244498,55.0,6.723716381418093,167.0,20.415647921760392,9.0,1.1002444987775062,392.0,47.92176039119804,127.0,15.52567237163814,60.0,7.334963325183375
G10502,Eltendorf,765.0,477,13,464,15.0,3.2327586206896552,28.0,6.0344827586206895,124.0,26.72413793103448,7.0,1.5086206896551724,190.0,40.94827586206897,66.0,14.224137931034484,34.0,7.327586206896551
G10503,Heiligenkreuz im Lafnitztal,966.0,570,15,555,8.0,1.4414414414414414,61.0,10.99099099099099,141.0,25.405405405405407,5.0,0.9009009009009009,246.0,44.32432432432433,59.0,10.63063063063063,35.0,6.306306306306306
G10504,Jennersdorf,3469.0,1897,53,1844,48.0,2.6030368763557483,150.0,8.134490238611713,555.0,30.09761388286334,13.0,0.7049891540130151,753.0,40.835140997830806,219.0,11.876355748373102,106.0,5.748373101952278
G10505,Minihof-Liebau,867.0,554,23,531,11.0,2.0715630885122414,44.0,8.286252354048965,98.0,18.455743879472696,7.0,1.3182674199623352,280.0,52.730696798493405,66.0,12.429378531073446,25.0,4.708097928436912
G10506,Mogersdorf,894.0,540,15,525,10.0,1.9047619047619049,38.0,7.238095238095238,126.0,24.0,8.0,1.5238095238095237,240.0,45.714285714285715,64.0,12.19047619047619,39.0,7.428571428571429
G10507,Neuhaus am Klausenbach,746.0,427,8,419,16.0,3.8186157517899764,27.0,6.443914081145586,92.0,21.957040572792362,8.0,1.9093078758949882,206.0,49.16467780429594,41.0,9.785202863961814,29.0,6.921241050119331
G10508,Rudersdorf,1838.0,1087,22,1065,17.0,1.5962441314553992,76.0,7.136150234741784,200.0,18.779342723004692,13.0,1.2206572769953052,517.0,48.544600938967136,99.0,9.295774647887324,143.0,13.427230046948358
G10509,Sankt Martin an der Raab,1657.0,1061,38,1023,30.0,2.932551319648094,72.0,7.038123167155426,214.0,20.918866080156402,15.0,1.466275659824047,484.0,47.31182795698925,125.0,12.218963831867057,83.0,8.113391984359726
